name,student_id,age,gender,attendance,scholarship,co_curricular_activities,marks,assignment_submission,debtor,displaced,income,prediction
Varsha,S220,12,Female,85,Yes,Yes,75,Yes,No,No,168131,Low
Ishaan,S221,14,Male,67,No,No,43,Half,Yes,Yes,69592,High
Jayant,S222,15,Male,57,No,No,47,Half,Yes,Yes,63728,High
Varun,S223,11,Male,76,No,Yes,53,Half,No,No,112035,Medium
Chetan,S224,10,Male,70,No,Yes,65,Half,No,No,90188,Medium
Alok,S225,11,Male,62,No,No,38,No,Yes,Yes,62575,High
Xitija,S226,14,Female,56,No,No,47,Half,Yes,Yes,72302,High
Falak,S227,15,Female,80,No,Yes,55,Half,Yes,No,102838,Medium
Girdhar,S228,15,Male,71,No,No,57,Half,No,No,118567,Medium
Jaya,S229,11,Female,61,No,No,42,No,Yes,Yes,63850,High
Qudsia,S230,12,Female,79,No,No,63,Half,No,No,112725,Medium
Riya,S231,11,Female,96,Yes,Yes,76,Yes,No,No,148798,Low
Winnie,S232,14,Female,75,No,No,64,Half,Yes,No,111134,Medium
Aditi,S233,14,Female,68,No,No,37,No,Yes,Yes,75102,High
Hema,S234,13,Female,96,Yes,Yes,83,Yes,No,No,175058,Low
Ramesh,S235,14,Male,72,No,No,56,Half,Yes,No,112624,Medium
Qasim,S236,14,Male,73,No,Yes,58,Half,No,No,121229,Medium
Dinesh,S237,13,Male,77,No,Yes,54,Half,Yes,No,126622,Medium
Garima,S238,14,Female,90,Yes,Yes,74,Yes,No,No,159720,Low
Pranav,S239,15,Male,69,No,No,62,Half,No,No,100733,Medium
Manish,S240,13,Male,97,Yes,Yes,82,Yes,No,No,230163,Low
Radhika,S241,12,Female,71,No,Yes,60,Half,Yes,No,119518,Medium
Sanjay,S242,10,Male,75,No,Yes,57,Half,No,No,92976,Medium
Ashok,S243,15,Male,70,No,Yes,66,Half,No,No,96711,Medium
Varsha,S244,10,Female,87,Yes,No,91,Yes,No,No,202433,Low
Isha,S245,11,Female,89,Yes,Yes,95,Yes,No,No,185778,Low
Tanvi,S246,15,Female,94,Yes,Yes,83,Yes,No,No,188335,Low
Anil,S247,11,Male,59,No,No,46,No,Yes,Yes,60359,High
Omkar,S248,14,Male,72,No,Yes,59,Half,Yes,No,104112,Medium
Rajesh,S249,15,Male,85,Yes,Yes,79,Yes,No,No,174311,Low
Uday,S250,15,Male,72,No,No,60,Half,Yes,No,104124,Medium
Ramesh,S251,10,Male,58,No,No,46,Half,Yes,Yes,69632,High
Rehan,S252,10,Male,72,No,Yes,54,Half,Yes,No,106624,Medium
Anjali,S253,11,Female,77,No,Yes,58,Half,No,No,119557,Medium
Nidhi,S254,13,Female,82,Yes,Yes,77,Yes,No,No,222741,Low
Mahi,S255,11,Female,65,No,No,47,No,Yes,Yes,73287,High
Kritika,S256,11,Female,75,No,Yes,63,Half,Yes,No,114549,Medium
Ranjit,S257,11,Male,91,Yes,Yes,91,Yes,No,No,164407,Low
Ramesh,S258,15,Male,71,No,Yes,57,Half,Yes,No,114349,Medium
Mansi,S259,14,Female,69,No,Yes,57,Half,Yes,No,93563,Medium
Naresh,S260,14,Male,77,No,Yes,60,Half,No,No,94920,Medium
Farhan,S261,13,Male,81,Yes,Yes,91,Yes,No,No,172763,Low
Indira,S262,10,Female,77,No,Yes,53,Half,No,No,127431,Medium
Gauri,S263,10,Female,82,Yes,Yes,75,Yes,No,No,190929,Low
Charu,S264,10,Female,56,No,No,47,Half,Yes,Yes,71514,High
Chetan,S265,13,Male,56,No,No,41,Half,Yes,Yes,71941,High
Pankaj,S266,13,Male,95,Yes,No,92,Yes,No,No,154621,Low
Pradeep,S267,10,Male,63,No,No,49,Half,Yes,Yes,67902,High
Harish,S268,12,Male,55,No,No,49,Half,Yes,Yes,56793,High
Prakash,S269,12,Male,57,No,No,40,No,Yes,Yes,69360,High
Kabir,S270,15,Male,86,Yes,Yes,91,Yes,No,No,170220,Low
Ashok,S271,13,Male,68,No,No,49,No,Yes,Yes,70892,High
Sameer,S272,10,Male,61,No,No,44,No,Yes,Yes,55243,High
Madhuri,S273,12,Female,95,Yes,Yes,85,Yes,No,No,141830,Low
Yashika,S274,11,Female,98,Yes,Yes,91,Yes,No,No,181318,Low
Sunil,S275,13,Male,71,No,No,53,Half,Yes,No,94856,Medium
Gauri,S276,14,Female,61,No,No,48,Half,Yes,Yes,68146,High
Ranjit,S277,12,Male,62,No,No,36,Half,Yes,Yes,68907,High
Oindri,S278,15,Female,91,Yes,Yes,84,Yes,No,No,146295,Low
Varun,S279,14,Male,62,No,No,47,No,Yes,Yes,55358,High
Nikhil,S280,10,Male,90,Yes,No,88,Yes,No,No,220215,Low
Sagar,S281,10,Male,82,Yes,Yes,95,Yes,No,No,149036,Low
Vidya,S282,10,Female,98,Yes,Yes,80,Yes,No,No,137015,Low
Charu,S283,10,Female,77,No,No,59,Half,Yes,No,113973,Medium
Dhruv,S284,13,Male,70,No,Yes,60,Half,No,No,120901,Medium
Pankaj,S285,11,Male,79,No,Yes,63,Half,No,No,102523,Medium
Ranjit,S286,11,Male,92,Yes,No,72,Yes,No,No,148827,Low
Mansi,S287,13,Female,60,No,No,40,Half,Yes,Yes,63572,High
Bindiya,S288,13,Female,61,No,No,45,No,Yes,Yes,55407,High
Kabir,S289,12,Male,73,No,No,58,Half,Yes,No,123840,Medium
Ojasvi,S290,11,Female,96,Yes,Yes,84,Yes,No,No,173503,Low
Tara,S291,10,Female,59,No,No,42,No,Yes,Yes,75721,High
Jaya,S292,14,Female,74,No,Yes,55,Half,Yes,No,96175,Medium
Saurabh,S293,10,Male,80,No,No,61,Half,Yes,No,118563,Medium
Zubin,S294,13,Male,61,No,No,41,Half,Yes,Yes,76781,High
Garima,S295,10,Female,66,No,No,41,No,Yes,Yes,76856,High
Nandini,S296,11,Female,90,Yes,Yes,83,Yes,No,No,155220,Low
Girish,S297,15,Male,60,No,No,48,Half,Yes,Yes,59878,High
Nikhil,S298,10,Male,72,No,No,56,Half,Yes,No,111705,Medium
Eshan,S299,14,Male,76,No,Yes,59,Half,No,No,106108,Medium
Pankaj,S300,14,Male,73,No,No,53,Half,Yes,No,108341,Medium
Alok,S301,12,Male,86,Yes,Yes,94,Yes,No,No,196451,Low
Anil,S302,10,Male,83,Yes,No,83,Yes,No,No,178844,Low
Namrata,S303,15,Female,56,No,No,49,Half,Yes,Yes,64873,High
Uday,S304,13,Male,69,No,Yes,55,Half,Yes,No,126370,Medium
Riya,S305,11,Female,79,No,Yes,66,Half,No,No,102216,Medium
Jhanvi,S306,13,Female,89,Yes,Yes,94,Yes,No,No,148946,Low
Qurat,S307,11,Female,65,No,No,49,Half,Yes,Yes,64282,High
Shivam,S308,10,Male,70,No,Yes,64,Half,Yes,No,96013,Medium
Zubin,S309,13,Male,95,Yes,No,78,Yes,No,No,147908,Low
Simran,S310,11,Female,59,No,No,36,No,Yes,Yes,64853,High
Sneha,S311,15,Female,75,No,No,62,Half,No,No,125050,Medium
Dhruv,S312,11,Male,82,Yes,Yes,92,Yes,No,No,201695,Low
Anand,S313,14,Male,80,No,No,65,Half,No,No,124939,Medium
Chetan,S314,10,Male,68,No,No,39,Half,Yes,Yes,61196,High
Jhanvi,S315,14,Female,69,No,Yes,66,Half,Yes,No,91244,Medium
Ekta,S316,15,Female,57,No,No,41,Half,Yes,Yes,70022,High
Qudsia,S317,14,Female,60,No,No,49,Half,Yes,Yes,56326,High
Jayant,S318,11,Male,80,No,No,59,Half,Yes,No,90161,Medium
Mohan,S319,13,Male,67,No,No,39,Half,Yes,Yes,70652,High
Pranav,S320,11,Male,67,No,No,39,No,Yes,Yes,74510,High
Anjali,S321,13,Female,71,No,Yes,62,Half,No,No,93322,Medium
Eshan,S322,11,Male,89,Yes,No,75,Yes,No,No,197080,Low
Yamini,S323,12,Female,87,Yes,Yes,87,Yes,No,No,214444,Low
Pranav,S324,15,Male,91,Yes,Yes,92,Yes,No,No,218380,Low
Rehan,S325,14,Male,94,Yes,Yes,74,Yes,No,No,214741,Low
Tara,S326,10,Female,56,No,No,41,No,Yes,Yes,74033,High
Naresh,S327,12,Male,90,Yes,Yes,82,Yes,No,No,177798,Low
Manish,S328,13,Male,84,Yes,Yes,93,Yes,No,No,222999,Low
Devendra,S329,11,Male,59,No,No,35,Half,Yes,Yes,63717,High
Qasim,S330,10,Male,97,Yes,Yes,86,Yes,No,No,220437,Low
Vivek,S331,11,Male,80,Yes,Yes,94,Yes,No,No,188941,Low
Rehan,S332,15,Male,78,No,Yes,57,Half,Yes,No,113157,Medium
Winnie,S333,10,Female,79,No,Yes,61,Half,Yes,No,97723,Medium
Qudsia,S334,13,Female,75,No,No,62,Half,No,No,120104,Medium
Anand,S335,14,Male,79,No,No,66,Half,Yes,No,90469,Medium
Ivan,S336,11,Male,97,Yes,No,72,Yes,No,No,141610,Low
Jaya,S337,11,Female,80,Yes,Yes,93,Yes,No,No,183831,Low
Urmila,S338,14,Female,76,No,Yes,55,Half,No,No,125856,Medium
Eshan,S339,10,Male,80,Yes,Yes,87,Yes,No,No,170519,Low
Tara,S340,10,Female,66,No,No,47,Half,Yes,Yes,73465,High
Pallavi,S341,14,Female,91,Yes,Yes,95,Yes,No,No,184547,Low
Nitesh,S342,14,Male,78,No,Yes,53,Half,No,No,119670,Medium
Sagar,S343,15,Male,83,Yes,Yes,89,Yes,No,No,138357,Low
Pradeep,S344,12,Male,93,Yes,Yes,76,Yes,No,No,226405,Low
